Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dcscr015,screener,"<div style=""font-size: 12pt; width: 100%; background-color: #ffffdd;"">OVERANXIOUS/GENERALIZED ANXIETY DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.</div>",radio,Did you worry a lot more than most children your age?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr014,,
dcscr016,screener,"<div style=""font-size: 12pt; width: 100%; background-color: #ffffdd;"">OVERANXIOUS/GENERALIZED ANXIETY DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.</div>",radio,Has there ever been a time when you felt nervous or scared a lot of the time?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr014,,
dcscr017,screener,"<div style=""font-size: 12pt; width: 100%; background-color: #ffffdd;"">OVERANXIOUS/GENERALIZED ANXIETY DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.</div>",radio,Has anyone said that you are a worrier or that you worry too much?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,,,dcscr014,,
dcscr018,screener,"<div style=""font-size: 12pt; width: 100%; background-color: #ffffdd;"">OVERANXIOUS/GENERALIZED ANXIETY DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.</div>",notes,Who said that you were a worrier?,,,,,,,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,LH,,,,
dcscr019,screener,"<div style=""font-size: 12pt; width: 100%; background-color: #ffffdd;"">OVERANXIOUS/GENERALIZED ANXIETY DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.</div>",notes,Why did he/she say that you were a worrier?,,,,,,,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,LH,,,,
dcscr020,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SEPARATION ANXIETY </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot about being away from their parents or the grown-up who takes care of them.   </div>",radio,"Since you were 5 years old, has there ever been a time when you had a lot of worries about your (attachment figures) and were very upset when you were away from him/her?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr020,,
dcscr021,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SEPARATION ANXIETY </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot about being away from their parents or the grown-up who takes care of them.   </div>",radio,Did you worry about this more than most children your age?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr020] = '1',,,,dcscr020,,
dcscr022,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SEPARATION ANXIETY </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people worry a lot about being away from their parents or the grown-up who takes care of them.   </div>",radio,Has there ever been a time when you wanted to stay home from school or not go to other places without your (attachment figures)?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr020,,
dcscr023,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children have trouble paying attention and following instructions. They may be distracted easily and forget what they are supposed to do. These children often have difficulty staying still, are always on the go and often interrupt people. </div> Did you often:",radio,"Have trouble paying attention or keeping your mind on your school work, chores, or other activities that you were doing?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr023,,
dcscr024,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children have trouble paying attention and following instructions. They may be distracted easily and forget what they are supposed to do. These children often have difficulty staying still, are always on the go and often interrupt people. </div> Did you often:",radio,"Have problems following instructions and often fail to finish school, work, or other things you meant to get done?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr023,,
dcscr025,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children have trouble paying attention and following instructions. They may be distracted easily and forget what they are supposed to do. These children often have difficulty staying still, are always on the go and often interrupt people. </div> Did you often:",radio,Have difficulty sitting still for more than a few minutes at a time?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr023,,
dcscr026,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) </div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children have trouble paying attention and following instructions. They may be distracted easily and forget what they are supposed to do. These children often have difficulty staying still, are always on the go and often interrupt people. </div> Did you often:",radio,Did a teacher ever talk to your parents about problems paying attention or sitting still?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr023,,
dcscr027,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OPPOSITIONAL DEFIANT DISORDER (ODD)</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children and adolescents do things that can get them into trouble with adults, like getting angry, arguing or talking back to adults, refusing to do what adults ask them to do, annoying people on purpose, or being touchy, grouchy, or irritable.</div>",radio,"Was there a time when you did things that got you into trouble with adults such as losing your temper, arguing with or talking back to adults, or being grouchy or irritable with them?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr027,,
dcscr028,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OPPOSITIONAL DEFIANT DISORDER (ODD)</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children and adolescents do things that can get them into trouble with adults, like getting angry, arguing or talking back to adults, refusing to do what adults ask them to do, annoying people on purpose, or being touchy, grouchy, or irritable.</div>",radio,Was there a time when you got into trouble with adults for refusing to do what they told you to do? ,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr027,,
dcscr029,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OPPOSITIONAL DEFIANT DISORDER (ODD)</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children and adolescents do things that can get them into trouble with adults, like getting angry, arguing or talking back to adults, refusing to do what adults ask them to do, annoying people on purpose, or being touchy, grouchy, or irritable.</div>",radio,Did you often annoy other people on purpose?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr027,,
dcscr030,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OPPOSITIONAL DEFIANT DISORDER (ODD)</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some children and adolescents do things that can get them into trouble with adults, like getting angry, arguing or talking back to adults, refusing to do what adults ask them to do, annoying people on purpose, or being touchy, grouchy, or irritable.</div>",radio,"Did you ever get into trouble for getting even with other people by doing things to hurt them, telling lies about them, or messing up their things?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr027,,
dcscr031,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">CONDUCT DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people do other things that may get them into trouble with adults like breaking rules or getting into trouble with the police or other authorities if they get caught. They may lie a lot, steal, skip school, smoke or drink.</div>",radio,"Was there ever a time when you did things that got you into trouble with adults like lying, stealing or breaking rules?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr031,,
dcscr032,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">CONDUCT DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people do other things that may get them into trouble with adults like breaking rules or getting into trouble with the police or other authorities if they get caught. They may lie a lot, steal, skip school, smoke or drink.</div>",radio,"Did you ever skip school, stay out at night later than you were supposed to, or run away from home overnight?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr031,,
dcscr033,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">CONDUCT DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people do other things that may get them into trouble with adults like breaking rules or getting into trouble with the police or other authorities if they get caught. They may lie a lot, steal, skip school, smoke or drink.</div>",radio,"Did you ever set fires, break into cars, or destroy someone else's property on purpose?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr031,,
dcscr034,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">CONDUCT DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people do other things that may get them into trouble with adults like breaking rules or getting into trouble with the police or other authorities if they get caught. They may lie a lot, steal, skip school, smoke or drink.</div>",radio,Do you have a probation officer or have you ever been on probation?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr031,,
dcscr035,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">CONDUCT DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some young people do other things that may get them into trouble with adults like breaking rules or getting into trouble with the police or other authorities if they get caught. They may lie a lot, steal, skip school, smoke or drink.</div>",notes,"If yes, what happened?",,,,,,,[dcscr034] = '1',,LH,,,,
dcscr036,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Animals or bugs, like dogs, snakes, or spiders?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr037,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Being in really high places, like a roof or tall building?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr038,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Water or situations involving water, such as a swimming pool, lake, or ocean?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr039,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Storms, thunder, or lightning?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr040,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Doctors, needles, or blood?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr041,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,"Closed spaces, like elevators or closets?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr042,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,Flying or airplanes?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr043,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SPECIFIC PHOBIA</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have fears of things, like spiders, heights, elevators, dogs, blood, or shots.  When they are faced with the thing that they fear, they become very frightened and upset even though there is no real danger.  They may go out of their way to stay away from the thing that they fear.</div> <div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;""> </div>Have you ever been very nervous or afraid of:",radio,Other?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr036,,
dcscr044,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SOCIAL ANXIETY</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Most people feel uncomfortable when they have to speak in front of people, meet new people, or when they are in situations in which they may say or do something embarrassing.  Some people become so uncomfortable in these situations that they either stay away from them or become very upset, even though they know that it doesn't make sense.</div> <div style="" color: purple; width: 100%; font-style: italic; background-color: #ffffdd;""> </div>Was there ever a time in your life:",radio,"When you felt very afraid or really, really shy with people, like meeting new people, going to parties, or eating or drinking in front of others?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr044,,
dcscr045,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">SOCIAL ANXIETY</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Most people feel uncomfortable when they have to speak in front of people, meet new people, or when they are in situations in which they may say or do something embarrassing.  Some people become so uncomfortable in these situations that they either stay away from them or become very upset, even though they know that it doesn't make sense.</div> <div style="" color: purple; width: 100%; font-style: italic; background-color: #ffffdd;""> </div>Was there ever a time in your life:",radio,"When you felt very afraid or uncomfortable when you had to do something in front of a group of people, like speaking in class?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr044,,
dcscr046,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PANIC DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have what we call ""panic or anxiety attacks"".  In these kinds of attacks, people become very scared, even though there is nothing around to frighten them.  Sometimes, they feel they can't breathe or their heart beats fast.  The attacks come on very quickly and then go away.</div>",radio,Have you ever had an attack like this?,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr047,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PANIC DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have what we call ""panic or anxiety attacks"".  In these kinds of attacks, people become very scared, even though there is nothing around to frighten them.  Sometimes, they feel they can't breathe or their heart beats fast.  The attacks come on very quickly and then go away.</div>",notes,Describe,,,,,,,[dcscr046] = '1',,LH,,,,
dcscr048,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PANIC DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have what we call ""panic or anxiety attacks"".  In these kinds of attacks, people become very scared, even though there is nothing around to frighten them.  Sometimes, they feel they can't breathe or their heart beats fast.  The attacks come on very quickly and then go away.</div>",radio,"Has there ever been a time when all of a sudden you felt very, very scared or uncomfortable and your chest hurt, you couldn't catch your breath, your heart beat very fast, or you felt very shaky?","0, No | 1, Yes | 9, Unk",,,,,,[dcscr046] = '0',,,,dcscr048,,
dcscr049,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PANIC DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have what we call ""panic or anxiety attacks"".  In these kinds of attacks, people become very scared, even though there is nothing around to frighten them.  Sometimes, they feel they can't breathe or their heart beats fast.  The attacks come on very quickly and then go away.</div>",radio,"Has there ever been a time when all of a sudden, you felt that something terrible was going to happen, that you were going crazy, or going to die?","0, No | 1, Yes | 9, Unk",,,,,,[dcscr046] = '0',,,,dcscr048,,
dcscr050,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">PANIC DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have what we call ""panic or anxiety attacks"".  In these kinds of attacks, people become very scared, even though there is nothing around to frighten them.  Sometimes, they feel they can't breathe or their heart beats fast.  The attacks come on very quickly and then go away.</div>",text,How many of these attacks have you had?,,NUMBER OF ATTACKS,,,,,[dcscr046] = '1' or [dcscr048] = '1' or [dcscr049] = '1',,RH,,,,
dcscr051,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">AGORAPHOBIA</div>",radio,"<div style="" color: purple; width: 100%; font-style: italic; background-color: #ffffdd;"">[Looking at this card]</div>Have you ever been very nervous or afraid of being in crowds, going to public places, traveling by yourself, traveling away from home, or using public transportation like a bus or the metro? ","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr052,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">AGORAPHOBIA</div>",radio,Have you been afraid about (insert situation) because you were worried about having a scary/strange feeling in your body or other body problem(s)?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr051] = '1',,,,dcscr052,,
dcscr053,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">AGORAPHOBIA</div>",radio,"Have you been afraid of being in places because you were worried that you might get trapped, couldn't escape, would be embarrassed to escape or couldn't get help?","0, No | 1, Yes | 9, Unk",,,,,,[dcscr051] = '1',,,,dcscr052,,
dcscr054,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",radio,"Have you ever been bothered by thoughts that don't make sense to you, that come over and over again and won't go away?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr054,,
dcscr055,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",radio,Did these thoughts continue to bother you no matter how hard you tried to get rid of them or ignore them?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr054] = '1',,,,dcscr054,,
dcscr056,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",radio,"Have you ever had to do something over and over again like washing your hands, or re-arranging or touching things in a certain way that would have made you feel really nervous if you couldn't do it?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr054,,
dcscr057,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",radio,"Have you ever saved up so many things that people complain or they got in the way? <div style=""color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Clarify that this is NOT parents complaining that child needs to clean room/tidy up. </div>","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr054,,
dcscr058,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",notes,Please explain:,,,,,,,[dcscr057] = '1',,LH,,,,
dcscr059,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">OBSESSIVE COMPULSIVE DISORDER</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have unpleasant thoughts or feelings to do things that keep coming back over and over again and they can't get them out of their head. These thoughts sometimes make these people feel like they have to do things over and over again (like washing their hands, counting, or checking things). </div>",radio,Do you feel the need to do things just right (like they have to be perfect)?,"0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr060,screener,What is the longest period that you have had these thoughts or behaviors?,text,N of Days,,DAYS,number,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,,,
dcscr061,screener,What is the longest period that you have had these thoughts or behaviors?,text,N of Weeks,,WEEKS,number,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,,,
dcscr062,screener,What is the longest period that you have had these thoughts or behaviors?,text,N of Months,,MONTHS,number,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,,,
dcscr063,screener,What is the longest period that you have had these thoughts or behaviors?,text,N of Years,,YEARS,number,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,,,
dcscr064,screener,What is the longest period that you have had these thoughts or behaviors?,radio,Did they prevent you from doing things you normally would do?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,dcscr064,,
dcscr065,screener,What is the longest period that you have had these thoughts or behaviors?,radio,Did having these thoughts or behaviors bother you a lot?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr054] = '1' or [dcscr056] = '1' or [dcscr057] = '1' or [dcscr059] = '1'  ,,,,dcscr064,,
dcscr066,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">EATING DISORDERS</div>",radio,"Was there ever a time when you felt really fat or heavy, but other people said that you were too thin?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr066,,
dcscr067,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">EATING DISORDERS</div>",radio,"At that time, did you lose a lot of weight on purpose (like you were trying to do so)?","0, No | 1, Yes | 9, Unk",,,,,,[dcscr066] = '1' ,,,,dcscr066,,
dcscr068,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">EATING DISORDERS</div>",radio,Has there been a time when your eating was out of control - you'd eat a large amount of food in a short period of time and could not stop yourself?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr066,,
dcscr069,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">EATING DISORDERS</div>",radio,"At that time, did you ever do anything to stop yourself from gaining weight like taking pills or making yourself throw up?","0, No | 1, Yes | 9, Unk",,,,,,[dcscr068] = '1' ,,,,dcscr066,,
dcscr070,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,Has there ever been a time when you felt sad or depressed most of the time?  ,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr070,,
dcscr071,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,"Has there ever been a time when you cried a lot, or felt like crying?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr070,,
dcscr072,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,Was this different from how you usually are?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr070] = '1' or [dcscr071] = '1',,,,dcscr070,,
dcscr073,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,"Has there ever been a time when you felt grouchy, irritable or in a bad mood most of the time; even little things would make you mad?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr073,,
dcscr074,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,Was this different from how you usually are?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr073] = '1',,,,dcscr073,,
dcscr075,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,Has there ever been a time when nothing was fun for you and you just weren't interested in anything?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dcscr073,,
dcscr076,screener,"<div style=""font-size: 12pt;width: 100%; background-color: #ffffdd;"">DEPRESSION</div><div style=""color: blue;width: 100%; background-color: #ffffdd;"">Some people have times when they feel sad, depressed, irritable or moody. They no longer enjoy the things they used to do; they may feel tired and have less energy than usual.  These changes are much different from their usual selves.</div>",radio,Was this different from how you usually are?,"0, No | 1, Yes | 9, Unk",,,,,,[dcscr075] = '1',,,,dcscr073,,
